gameId,b_towerKills,b_baronKills,b_dragonKills,b_riftHeraldKills,r_towerKills,r_baronKills,r_dragonKills,r_riftHeraldKills,b_kills,b_deaths,b_assists,r_kills,r_deaths,r_assists,b_avgLevel,b_totalGold,b_totalVisionScore,b_totalDamageDealt,b_totalHeal,b_totalDamageTaken,r_avgLevel,r_totalGold,r_totalVisionScore,r_totalDamageDealt,r_totalHeal,r_totalDamageTaken,b_win,r_win
3419439059,9,1,3,1,6,0,1,0,39,28,52,28,39,36,15.6,62685,127,677230,31194,128082,13.8,53352,97,537369,25141,134249,1,0
3419461385,9,1,3,0,3,0,2,1,37,29,36,29,37,49,16.0,63227,145,655250,40649,141311,15.0,55195,121,596559,31649,139636,1,0
3419155094,10,1,2,0,4,0,3,1,39,23,69,23,39,36,15.2,62720,163,597706,32126,118696,14.6,53562,120,654862,25116,116961,1,0
3416922319,2,0,0,0,6,0,3,2,19,28,11,28,19,27,12.2,40198,79,421707,6986,63771,12.4,44895,58,403293,9631,72706,0,1
3416877624,3,0,1,1,10,0,3,0,14,41,18,41,14,73,13.4,46674,102,525663,14477,121382,15.2,59757,123,617617,43494,101986,0,1
3414165552,0,0,0,0,7,0,3,2,5,23,5,23,6,27,10.8,27875,56,315052,12032,66891,12.4,42369,95,422197,25876,63096,0,1
3419969890,11,1,5,1,1,0,0,0,42,26,58,26,42,32,16.2,66488,153,746813,33977,106584,15.2,53139,106,559071,24665,135988,1,0
3419872204,10,1,3,1,2,0,1,1,34,24,40,22,34,33,13.8,54660,103,501553,27480,86236,12.2,42860,64,383989,12613,82123,1,0
3394721376,9,0,3,1,1,0,0,0,27,15,37,15,28,13,12.8,45811,86,438618,20601,67850,11.2,36469,70,312833,15295,75415,1,0
3417478983,6,1,2,0,11,2,5,1,43,58,83,58,43,87,17.6,76745,157,888196,78909,232954,18.0,89230,244,1032903,77987,236309,0,1
3417876409,6,0,4,1,1,0,0,0,24,20,37,20,24,21,13.2,48915,111,472470,15322,73056,12.4,41338,101,429835,25757,93245,1,0
3419344832,7,1,2,2,3,0,2,0,43,39,58,39,43,54,14.6,61855,116,565659,39551,143871,13.8,55584,152,501434,32996,122662,1,0
3419447195,3,0,2,1,11,1,1,0,18,30,24,30,18,49,13.6,46792,112,561446,42929,123421,15.0,58228,150,601211,17588,84831,0,1
3419579208,1,0,0,0,10,0,3,1,5,31,6,31,6,49,11.0,32605,89,347009,21699,88170,13.6,49178,94,458889,24071,64570,0,1
3419752580,3,0,3,0,9,1,3,1,41,54,45,54,41,62,16.6,67000,176,718973,34046,165521,17.6,79047,166,1004679,48099,175713,0,1
3419967602,7,1,2,0,8,1,3,1,37,42,69,42,37,75,16.0,66538,133,714061,43152,156211,16.8,69188,168,748891,36525,138556,0,1
3419962752,4,1,2,0,6,0,4,1,28,37,42,37,28,46,15.6,61214,167,773109,18698,117697,15.6,64628,163,717208,37774,117672,0,1
3418761826,11,1,4,1,3,1,1,0,36,35,53,35,36,71,16.8,71191,174,867004,62636,155027,16.6,70024,148,852490,70004,165654,1,0
3419609724,8,1,2,0,5,1,2,2,34,28,60,28,34,38,15.6,61641,166,602377,74977,154609,14.4,56699,143,641450,36580,122554,1,0
3415082045,11,1,4,2,1,0,1,0,36,27,47,27,36,41,14.4,57782,111,618561,33007,111128,14.2,50820,98,464258,35572,134312,1,0
3419932954,11,1,5,0,6,0,0,1,39,35,59,35,39,46,16.8,68977,151,749407,52553,133498,15.0,61740,166,582399,29429,145852,1,0
3419606835,2,0,1,1,9,1,2,1,17,38,21,38,17,56,12.6,43867,96,413134,15411,105079,14.6,58634,124,594639,37698,98989,0,1
3415055001,1,0,1,0,9,1,3,1,28,45,35,45,28,58,13.6,50967,95,527593,39702,136353,15.0,60700,91,572556,42295,129508,0,1
3419524069,7,1,2,1,0,0,1,0,25,11,31,11,25,14,13.8,51259,114,580582,23319,66888,12.4,38733,110,384116,23229,100574,1,0
3419519867,11,0,3,2,0,0,0,0,26,9,37,9,26,10,12.2,44033,87,397389,26332,65574,10.6,30677,65,268008,8542,73763,1,0
3419382697,4,1,3,1,8,0,2,1,27,44,34,44,27,98,15.4,60772,194,656022,43567,154197,16.4,67260,172,739162,43901,120988,0,1
3415933279,7,1,2,0,5,0,2,1,40,26,63,26,40,30,15.0,59134,134,553594,49179,122956,13.2,49309,160,488319,24261,116960,1,0
3419940147,5,0,3,2,0,0,0,0,27,17,39,17,27,19,12.4,44040,91,390840,34470,78069,11.2,37135,58,371716,24488,88392,1,0
3419424825,8,1,2,0,3,0,2,1,35,22,49,22,35,30,15.4,60781,134,701490,26572,102611,14.2,52415,122,599598,15690,106693,1,0
3415877276,0,0,1,0,9,0,2,2,13,45,20,45,14,55,10.4,31532,66,238318,17824,97296,12.4,52571,127,459543,30151,88007,0,1
3419385502,4,0,0,2,8,1,4,0,16,30,21,30,16,42,12.6,45599,122,456521,16740,88117,14.0,54259,132,584867,9747,65107,0,1
3420034065,9,1,3,0,3,0,0,1,25,22,34,22,25,21,14.4,54071,96,562076,30907,107292,13.0,45456,92,466652,22418,82057,1,0
3420000313,8,1,3,2,5,0,1,0,38,20,52,20,38,26,14.0,58577,122,508365,34629,104126,12.6,45026,97,426418,18332,108043,1,0
3407318774,4,0,2,0,6,1,2,1,13,32,15,32,13,49,13.8,49742,145,654596,29965,109923,15.8,63263,125,799857,38208,107393,0,1
3418729635,0,0,0,0,8,1,4,2,11,28,9,28,11,43,11.8,36603,87,412873,15223,82043,13.0,49176,116,461632,21367,67545,0,1
3419954585,0,0,1,0,9,0,3,1,21,30,43,30,22,57,12.4,41741,80,407656,22759,101168,13.4,50098,115,484560,45988,109878,0,1
3419166411,9,1,4,1,4,0,1,1,36,26,62,26,36,33,14.4,58867,142,518120,36880,118949,13.8,53073,114,519347,26255,121728,1,0
3419888986,2,0,2,0,11,1,1,1,17,31,25,31,17,53,11.8,39001,108,341465,19798,96049,13.6,50294,97,467528,17935,88360,0,1
3405607548,7,1,2,2,2,0,1,0,26,15,37,15,26,16,13.2,47640,94,505332,18180,63534,11.4,36083,76,336968,13033,80249,1,0
3405631998,7,2,4,1,2,0,1,0,35,24,62,24,35,38,15.4,59863,121,581285,35673,114907,13.8,52844,106,575231,34707,128332,1,0
3419097596,2,0,2,1,6,0,1,1,20,35,16,35,20,57,12.2,44502,138,469637,18745,102653,13.8,51935,115,445360,47340,100997,0,1
3419915638,2,0,1,1,11,1,3,1,11,35,17,35,11,47,12.8,44053,101,531858,13539,102442,14.4,57029,162,580087,26322,71868,0,1
3419916397,6,2,1,2,10,0,4,0,37,40,65,40,37,63,16.0,73383,216,746237,38357,156276,16.8,72655,168,947532,28029,160317,0,1
3419586427,6,1,2,2,1,0,1,0,25,15,45,15,25,8,12.8,45118,90,409470,32065,74761,11.2,36007,87,354642,21532,84649,1,0
3419932034,2,0,1,1,10,1,2,1,8,22,10,22,8,31,12.0,37242,72,395729,41297,80340,13.6,48766,111,510407,16342,60832,0,1
3411690594,1,0,0,1,6,1,4,1,15,27,26,27,15,38,12.2,40731,114,458902,17184,74614,13.4,49423,101,477449,46250,96185,0,1
3405111628,7,1,1,0,6,1,5,2,28,25,56,25,28,25,17.2,66233,172,857206,40652,124323,16.4,63835,185,851644,53638,164036,1,0
3419990938,11,0,3,1,0,0,0,0,28,7,22,7,29,10,12.4,44963,79,435565,17941,54930,10.4,28781,52,238494,10695,69275,1,0
3419916643,10,1,3,0,5,0,0,2,38,17,48,17,38,14,14.8,58694,112,572422,32619,98938,12.8,46815,94,580565,16902,110679,1,0
3403637240,0,0,0,1,11,1,4,1,5,32,11,32,5,48,11.6,34975,74,399350,14417,81124,13.2,51793,99,479707,24448,66425,0,1
3419960543,3,1,0,2,4,0,4,0,22,34,29,34,22,54,14.2,54105,115,572216,19778,125843,15.0,57578,159,625258,45842,109108,0,1
3419964655,0,0,3,0,11,2,2,2,19,29,33,29,19,37,14.6,51424,143,690523,20652,103158,15.4,62494,134,722345,31217,107946,0,1
3420029620,8,1,4,2,0,0,0,0,30,15,47,15,30,21,13.2,51081,117,497690,27871,72401,12.2,37942,76,353660,30793,100682,1,0
3419959367,10,2,3,1,7,1,3,0,31,43,29,42,31,94,16.2,70776,229,916861,27322,168134,17.6,73890,147,938726,75506,133272,0,1
3419236495,10,0,2,2,2,0,2,0,42,25,52,25,42,29,13.6,56277,89,472151,17294,96644,12.6,45359,69,404086,19056,95896,1,0
3420037686,8,1,3,2,1,0,0,0,23,21,30,21,23,25,14.0,51048,112,613291,21356,82277,12.8,42972,77,462036,25717,97712,1,0
3420038018,11,0,2,1,0,0,1,0,32,14,34,14,32,17,13.2,51122,92,564996,37574,81496,11.8,36840,77,317055,24679,90504,1,0
3420048341,8,1,4,2,4,1,2,0,33,30,81,30,33,60,16.2,68676,234,796652,86370,187621,16.6,66153,162,807861,107299,212159,1,0
3419547561,1,0,3,0,11,1,2,2,31,33,49,33,31,54,15.2,57111,158,657160,35530,128823,15.4,61654,158,605488,39684,134747,0,1
3419936498,3,0,1,0,11,2,4,2,22,25,21,25,22,37,15.4,54081,85,734902,17095,117732,16.2,64347,129,851477,57192,137580,0,1
3419670006,11,1,4,2,2,0,0,0,29,16,49,16,29,16,14.6,55363,148,575224,16809,67358,13.4,45635,90,455296,17025,91962,1,0
3419532077,1,0,2,0,9,2,4,2,23,45,37,45,23,68,15.2,55289,126,734845,18030,121370,16.2,68699,165,712057,46086,130319,0,1
3420100633,1,0,0,0,5,0,3,2,15,32,28,32,15,41,11.8,38562,87,364085,22368,80764,13.0,49271,105,494192,43052,86287,0,1
3419626159,3,0,2,0,10,2,3,1,37,46,75,46,37,74,15.0,60750,102,680690,49796,150061,16.0,69361,107,662156,51547,166209,0,1
3420013776,5,2,3,1,6,0,3,0,32,42,71,42,32,79,16.6,69888,169,776621,57974,170188,16.8,70988,196,876573,22813,133164,0,1
3420010415,4,0,2,0,0,0,0,0,25,15,32,15,26,11,12.2,42811,104,376075,16044,52355,11.2,33275,63,310133,15097,74969,1,0
3419522758,9,1,3,2,1,0,1,0,27,21,32,21,27,18,14.4,58305,77,718081,21986,83291,13.6,46207,108,463605,19608,100759,1,0
3392142166,7,0,4,0,6,1,2,0,43,36,94,36,43,64,17.0,70983,185,812607,49179,172432,16.4,70294,191,786391,47746,189909,1,0
3415900001,1,0,1,0,11,2,4,1,23,35,40,35,23,49,15.0,54862,88,654578,29069,121907,15.4,64385,165,731828,42645,120872,0,1
3419945261,3,0,2,1,11,1,2,1,20,30,23,30,20,45,14.4,49775,106,559128,24361,121515,15.4,60088,130,713689,66191,105185,0,1
3419821436,2,0,2,1,11,1,3,0,35,46,41,46,35,54,16.4,62550,136,793159,34774,173925,17.4,71675,146,789082,68235,176416,0,1
3417024394,9,1,1,0,0,0,2,1,33,16,46,15,33,34,14.0,55867,78,552344,47008,116323,12.2,42182,94,441158,22529,100549,1,0
3416956759,3,0,2,0,8,0,2,1,25,37,36,37,25,72,12.6,46198,90,456355,35218,133067,14.0,55131,96,518493,27305,121121,0,1
3420182370,4,0,0,0,11,1,5,0,42,52,73,52,42,61,17.0,72895,126,906105,47320,192028,17.2,83418,200,905601,68412,184726,0,1
3420013449,3,0,2,0,9,2,4,1,20,42,30,42,20,67,14.8,56674,159,717460,23994,136004,16.4,69355,193,722394,40446,110269,0,1
3416013839,2,0,4,0,1,0,0,2,21,9,22,9,21,11,12.8,45002,111,490175,27150,68308,12.0,36277,66,425498,13280,72238,1,0
3419939610,9,1,3,1,3,0,1,0,29,19,32,19,29,19,14.4,52747,103,577309,24724,92589,12.0,44183,82,421472,23635,92800,1,0
3420241970,11,0,3,2,0,0,0,0,25,10,21,9,25,7,12.2,43651,94,415056,20155,64374,10.4,30088,63,310002,10036,72771,1,0
3416014668,3,0,2,1,11,2,4,1,44,45,63,44,44,65,17.4,76848,189,993751,53438,204952,17.6,80860,165,970583,60079,217420,0,1
3407758747,4,0,2,1,6,1,2,0,26,35,41,35,26,63,13.4,49618,122,473981,21212,108700,14.8,55863,133,519038,23573,92985,0,1
3419299729,0,0,1,1,9,1,3,1,23,40,39,40,23,59,12.8,42625,78,372006,34113,126505,13.8,57361,89,582103,32925,102491,0,1
3420120372,1,0,0,0,4,0,4,1,8,17,11,17,8,20,12.0,36662,106,407565,16899,67550,12.6,42316,117,450680,23718,65186,0,1
3407685233,5,0,2,1,1,0,0,0,26,12,41,12,26,14,12.0,42265,78,374595,14742,60367,10.6,31987,70,251855,15219,67587,1,0
3419459887,11,1,5,1,5,0,2,0,46,35,53,35,46,62,17.8,83279,185,1094172,46356,168891,17.2,72755,189,958151,54482,192027,1,0
3420069157,0,0,3,0,9,1,1,2,25,31,54,31,25,55,14.2,50444,134,713496,30728,100948,15.4,61415,134,655867,33583,118108,0,1
3419332570,8,0,3,2,1,0,0,0,30,15,52,15,30,20,13.4,49810,90,499250,27359,83406,12.4,40787,86,403910,16498,97431,1,0
3420031518,2,0,0,1,10,1,5,1,13,34,23,34,13,62,15.0,54364,131,807987,44608,131824,16.2,66313,173,785807,22212,120960,0,1
3420091707,3,0,2,2,11,1,2,0,20,31,38,31,20,51,13.8,49797,161,506124,23400,113592,15.6,63826,121,777479,35591,103605,0,1
3420010687,5,1,3,0,11,3,4,2,53,33,86,33,53,38,18.0,88986,203,1325455,94420,209526,17.8,88149,265,1224678,50093,231747,0,1
3420310925,2,0,3,1,10,1,1,0,26,34,53,34,26,37,14.4,52241,133,559538,28050,109575,15.0,59591,111,599050,27744,99845,0,1
3419658840,10,1,3,2,1,0,1,0,32,21,29,21,32,22,13.8,51986,98,521909,26895,91169,12.8,43186,81,428608,20536,90702,1,0
3416866585,2,0,1,0,10,1,3,2,29,39,38,39,29,47,13.6,49198,96,504755,21058,117517,15.0,60304,136,600487,30979,104272,0,1
3420148847,9,1,3,0,4,0,2,1,44,30,74,30,44,53,15.0,65029,138,609524,34445,114545,14.0,57575,116,572333,18592,118902,1,0
3420087201,6,0,2,0,9,2,3,1,28,35,41,35,28,75,14.4,59824,153,698313,19341,126473,16.0,64906,114,697174,49320,145027,0,1
3420084364,3,0,0,0,8,1,5,1,22,34,38,34,22,68,13.8,53300,143,550843,21612,112259,15.6,60519,139,624693,63305,125279,0,1
3419685645,6,1,4,2,9,1,2,0,29,55,46,55,29,79,16.2,67120,131,839376,40610,204291,17.6,78679,192,863486,90963,186711,0,1
3417513569,0,0,1,0,8,0,2,1,32,44,40,44,32,54,12.4,44585,90,349446,14290,96796,12.8,52077,91,416137,13380,87756,0,1
3416082316,3,0,2,1,1,0,1,0,27,11,25,11,27,12,11.6,40767,87,392581,15756,63739,10.8,32914,90,268313,15762,67641,1,0
3420204203,11,2,3,0,1,0,1,1,26,17,45,17,26,17,16.0,63188,180,807906,41327,102129,14.2,50393,134,632505,33192,134708,1,0
3420132984,11,1,4,1,0,0,0,0,25,7,33,7,25,11,14.6,56690,137,655213,21916,75447,12.8,39672,99,494081,19867,98182,1,0
3420106366,11,1,4,2,1,0,0,0,35,12,37,12,35,12,14.4,55363,147,578076,24306,81384,12.4,39344,61,390197,16200,97564,1,0
3415648505,1,0,0,1,10,1,3,0,23,45,39,45,23,58,12.6,49841,131,368832,16282,104441,14.8,60637,133,544302,25077,101058,0,1
3420226203,2,0,2,0,2,0,1,0,21,14,28,14,21,15,11.8,37287,64,350908,19406,60730,10.6,33657,80,277762,10794,66561,1,0
3420216129,0,0,1,0,7,0,1,1,19,37,21,37,19,36,10.6,32265,53,232092,9150,70839,11.8,45557,80,385334,14759,65767,0,1
3420203808,10,0,2,2,1,0,1,0,30,19,52,19,31,39,12.2,47996,99,398863,16182,75957,11.6,38702,74,321639,24113,85068,1,0
3420204333,11,1,1,1,1,0,3,1,34,18,38,17,34,20,15.0,58441,147,607333,28202,93536,13.0,42097,86,441126,20740,105109,1,0
3420096836,2,0,0,2,11,0,3,0,12,37,23,37,12,45,13.4,43993,100,503211,19034,93163,14.0,55287,102,599698,26296,80661,0,1
3417035020,9,1,4,1,0,0,0,0,42,29,62,29,42,43,14.4,59127,115,491542,28353,106956,12.8,47151,95,414685,20524,109905,1,0
3420061001,4,0,2,0,7,1,3,1,24,23,38,23,24,42,14.2,52051,92,605811,21522,106603,15.0,53364,118,538934,35500,111725,0,1
3420000877,11,1,5,1,4,1,1,1,33,34,58,34,33,56,17.0,74661,255,879379,45056,160600,17.2,71427,175,876735,49755,185910,1,0
3419269250,1,0,1,0,10,0,3,0,30,50,33,50,30,61,15.0,55087,188,512119,26518,147047,15.4,64734,175,646185,35864,113366,0,1
3420127846,4,0,3,1,6,1,1,0,24,35,31,35,24,77,12.0,45863,86,407087,25965,118250,13.2,49487,97,407060,20608,73121,0,1
3420079464,9,0,4,1,7,1,1,0,44,50,42,50,44,72,16.6,73407,154,876102,49062,186099,17.8,78240,160,984490,50502,193117,0,1
3419916955,9,1,2,2,3,0,1,0,36,30,46,30,36,41,15.4,62055,122,676497,41297,118061,13.8,51858,117,536388,39210,121104,1,0
3420081237,3,0,1,0,8,0,2,1,15,38,16,38,15,42,13.2,44542,61,460743,20211,109539,14.8,55639,98,658715,57112,105703,0,1
3418947931,10,2,3,2,4,0,1,0,35,32,41,32,35,38,16.2,66636,165,790772,56217,139830,16.0,61679,136,725672,53272,148338,1,0
3420026598,1,0,0,0,8,0,3,0,10,24,11,24,10,34,11.6,36396,60,385704,18673,89302,12.2,45038,119,445942,19056,62489,0,1
3420192480,0,0,0,0,9,1,4,0,12,28,26,27,12,37,12.4,41563,103,426917,15476,83621,13.4,53379,173,546939,23657,75359,0,1
3420248883,0,0,1,0,9,1,2,2,12,23,19,23,12,38,11.4,35144,59,357829,8898,72302,13.0,46349,79,444875,27595,63642,0,1
3416808161,9,1,3,0,5,1,2,1,31,23,67,23,31,29,16.4,65478,198,819463,44209,118147,15.2,59303,162,662298,20444,131320,1,0
3400654034,4,0,3,1,8,1,2,1,30,34,61,33,30,56,14.8,56082,134,581976,28545,120036,15.4,61641,140,590679,20725,119545,0,1
3400613829,10,1,3,0,3,0,2,1,36,28,64,28,36,47,16.6,66356,178,764020,36052,121259,15.2,58420,126,654044,19958,139734,1,0
3420239215,7,0,2,1,0,0,1,0,33,15,49,13,34,20,12.8,51114,111,475965,18526,74980,11.6,36720,90,340245,18501,86624,1,0
3420209576,8,0,3,2,0,0,1,0,25,4,47,4,25,8,13.4,51166,115,574869,17769,55968,12.0,36162,85,396658,17576,89046,1,0
3417087074,5,1,3,1,10,1,2,0,34,46,44,46,34,95,15.6,62614,115,721877,40714,158758,16.4,68110,119,662513,73736,174658,0,1
3420243193,1,0,1,1,8,0,2,0,8,31,8,31,8,50,10.4,32868,87,321021,12469,83120,12.6,43703,85,366441,26080,61786,0,1
3406321093,10,1,4,2,0,0,0,0,43,21,52,21,43,36,14.8,58882,112,580972,46147,128288,14.0,49389,96,517976,19837,116038,1,0
3416277237,10,1,3,1,3,0,3,0,49,37,62,37,49,70,17.4,75681,241,841640,29188,182034,16.6,69504,186,862875,79723,223249,1,0
3416164633,2,0,2,0,11,1,3,1,19,40,14,39,19,40,14.6,48288,122,579971,29196,121208,15.4,62152,123,635643,31334,104734,0,1
3420247344,3,0,1,0,9,1,3,2,11,32,9,32,11,44,12.8,43874,135,500395,15272,99514,14.8,56911,144,622607,21124,80011,0,1
3420200972,10,1,4,0,1,0,0,0,35,10,23,10,35,13,15.4,60532,143,729857,34222,95984,12.8,42804,92,448803,18434,106153,1,0
3416825273,5,0,3,1,0,0,0,1,25,8,30,8,25,9,12.2,42500,91,374627,18041,64509,10.6,30331,56,256697,15047,66288,1,0
3420289781,1,0,0,0,8,0,4,1,22,45,25,45,22,51,12.0,43795,80,379633,15041,97540,13.6,57840,104,488324,23694,88962,0,1
3420143950,10,1,3,1,3,0,2,1,34,13,52,13,34,17,15.2,61175,118,669911,38614,99901,13.2,46287,150,571180,28084,109472,1,0
3420391559,9,1,3,0,1,0,0,1,42,22,62,22,42,27,14.2,58137,109,558214,51132,117994,12.6,45519,82,455077,18561,115208,1,0
3420105269,11,1,2,0,3,0,2,2,35,25,69,25,35,30,14.6,59130,155,593422,24701,99374,13.4,49289,92,500070,25987,124073,1,0
3420050847,10,0,1,0,5,0,2,1,36,26,42,25,36,32,13.8,51934,78,490774,20574,94595,12.8,48494,98,470925,16450,94504,1,0
3420323701,3,0,0,0,8,1,5,1,16,32,17,32,16,55,13.4,47946,108,545265,34498,115704,15.2,60123,171,616605,38494,93164,0,1
3420214452,4,0,2,1,11,1,3,0,20,31,23,31,20,41,14.4,53225,132,684635,26093,103080,16.0,60140,143,707246,38516,112326,0,1
3420332289,8,1,2,2,0,0,1,0,33,15,38,15,33,21,13.2,49719,105,453222,27236,81841,11.8,38017,104,336607,15534,85329,1,0
3407275553,5,0,3,1,0,0,0,0,20,6,23,6,20,7,11.8,38284,87,385341,13471,54278,10.4,28303,73,260629,13723,67918,1,0
3420275278,11,0,3,0,2,0,0,1,38,17,44,17,38,18,14.4,56232,99,561387,32388,85329,12.0,41582,87,391929,18191,98669,1,0
3420141994,7,0,3,1,4,0,1,1,38,20,66,20,39,32,15.4,59979,147,669841,41099,126511,13.6,51107,171,578951,17597,111975,1,0
3420244173,4,0,5,1,8,1,0,1,27,31,46,31,27,51,15.6,59969,189,699910,31159,122684,17.0,68417,122,792119,56089,143196,0,1
3419261248,1,0,2,1,5,0,1,1,9,21,14,21,9,29,10.2,30386,70,248685,7240,50842,11.6,39415,61,373510,14855,48162,0,1
3420185513,7,1,4,0,4,0,0,1,31,20,27,20,31,27,15.2,58102,126,650697,25220,108542,13.8,48973,129,547140,17306,102673,1,0
3419153546,2,0,2,0,10,1,3,2,35,51,43,51,35,55,16.2,65643,155,704323,39551,163108,17.2,72954,191,737351,52934,155404,0,1
3420233902,5,0,0,0,11,1,5,2,29,30,54,30,29,40,14.8,58350,173,623358,30389,113541,16.4,67684,165,817050,28162,121777,0,1
3419076468,5,0,2,1,10,1,3,0,31,51,29,51,31,54,14.8,59256,153,645330,33333,168993,17.0,70105,150,818302,50775,148822,0,1
3420197586,3,0,0,0,8,1,4,2,28,42,38,42,28,70,13.0,51823,96,485308,22891,123604,14.2,58408,134,534202,35329,115821,0,1
3420236419,4,0,2,0,7,1,2,1,27,46,42,46,27,72,13.6,53824,141,569616,31369,147139,14.8,62206,129,593316,49974,136011,0,1
3420067018,4,1,1,1,11,1,5,1,16,39,19,39,16,68,16.0,64061,172,922933,33518,141791,17.2,76717,186,893718,79169,139714,0,1
3420222624,1,0,2,0,10,1,3,2,27,31,45,31,27,54,14.8,54024,132,597373,35909,129134,15.8,63875,159,801007,31422,118820,0,1
3420831651,6,1,3,0,2,0,1,1,26,16,23,16,26,19,14.2,49630,94,523959,28438,86244,12.8,42749,107,471226,12981,82730,1,0
3395469278,8,0,3,2,0,0,0,0,34,10,30,10,34,7,11.8,46663,75,449847,24531,63389,10.0,29283,65,247250,12341,66580,1,0
3420456815,4,0,2,1,11,1,3,0,27,33,35,33,27,44,14.6,55941,229,633281,33473,128298,16.0,64138,179,721071,35340,106566,0,1
3420227084,8,0,4,1,2,1,0,0,29,21,33,21,29,45,14.4,56853,192,637359,60375,119228,14.0,53915,127,616073,41060,116878,1,0
3419918759,1,0,1,0,8,0,2,1,10,29,22,29,10,49,11.2,34095,84,336017,19452,86287,12.4,47006,85,472808,26274,66956,0,1
