gameId,b_summoner1_lane,b_summoner1_championId,b_summoner1_kills,b_summoner1_deaths,b_summoner1_assists,b_summoner1_totalDamageDealt,b_summoner1_totalHeal,b_summoner1_visionScore,b_summoner1_totalDamageTaken,b_summoner1_goldEarned,b_summoner1_champLevel,b_summoner2_lane,b_summoner2_championId,b_summoner2_kills,b_summoner2_deaths,b_summoner2_assists,b_summoner2_totalDamageDealt,b_summoner2_totalHeal,b_summoner2_visionScore,b_summoner2_totalDamageTaken,b_summoner2_goldEarned,b_summoner2_champLevel,b_summoner3_lane,b_summoner3_championId,b_summoner3_kills,b_summoner3_deaths,b_summoner3_assists,b_summoner3_totalDamageDealt,b_summoner3_totalHeal,b_summoner3_visionScore,b_summoner3_totalDamageTaken,b_summoner3_goldEarned,b_summoner3_champLevel,b_summoner4_lane,b_summoner4_championId,b_summoner4_kills,b_summoner4_deaths,b_summoner4_assists,b_summoner4_totalDamageDealt,b_summoner4_totalHeal,b_summoner4_visionScore,b_summoner4_totalDamageTaken,b_summoner4_goldEarned,b_summoner4_champLevel,b_summoner5_lane,b_summoner5_championId,b_summoner5_kills,b_summoner5_deaths,b_summoner5_assists,b_summoner5_totalDamageDealt,b_summoner5_totalHeal,b_summoner5_visionScore,b_summoner5_totalDamageTaken,b_summoner5_goldEarned,b_summoner5_champLevel
3419220634,TOP,Camille,5,5,3,86817,3030,20,21853,9341,14,BOTTOM,Shaco,5,5,8,42989,795,21,14915,8336,13,BOTTOM,Twitch,6,9,3,65083,2262,7,19524,9452,13,JUNGLE,Kayn,3,5,6,87436,8847,15,23488,8324,13,MIDDLE,Anivia,1,3,3,79605,2318,17,20537,8154,14
3394687389,BOTTOM,Varus,8,4,10,108851,4538,12,15971,11748,14,BOTTOM,Brand,7,3,10,79763,3419,41,15712,10242,14,JUNGLE,Zac,3,1,10,105036,27191,17,27908,8910,14,MIDDLE,Urgot,3,4,5,108269,1089,21,11489,9203,15,MIDDLE,Zed,19,6,3,167572,3660,12,20851,15225,17
3414201752,JUNGLE,Kayn,6,11,15,221764,31873,22,66925,15547,18,TOP,Yorick,4,7,11,395120,21633,17,56606,19870,18,MIDDLE,Ekko,13,10,5,236552,22911,33,55607,19411,18,BOTTOM,Aphelios,13,16,9,298837,7673,35,44572,18718,18,BOTTOM,Nautilus,2,16,21,44668,8175,81,48010,11408,18
3419317543,JUNGLE,Sion,5,6,17,152240,8040,16,38047,11586,14,MIDDLE,Velkoz,7,6,12,91884,1020,16,20929,10228,14,JUNGLE,Teemo,8,2,4,163983,912,30,13203,13700,17,TOP,Ashe,11,9,14,140938,3979,18,27424,13553,14,MIDDLE,Yuumi,3,4,22,15788,23032,42,7969,8753,13
3419859199,TOP,Jayce,0,4,1,72022,0,9,11996,6084,12,JUNGLE,Kayn,2,4,2,80556,5286,18,15186,6493,10,BOTTOM,Lux,3,8,5,32196,203,14,9754,6703,9,BOTTOM,Tristana,4,7,2,47977,1245,8,12485,6143,10,MIDDLE,Ahri,2,6,0,27442,244,15,12095,5215,9
3419222589,MIDDLE,Yasuo,7,5,7,218875,3756,17,22398,14279,17,BOTTOM,Ashe,18,3,9,183508,4427,20,16198,17945,17,BOTTOM,Leona,5,4,21,28284,2673,62,20735,10623,15,TOP,Singed,3,7,6,144558,3074,11,26214,11151,16,JUNGLE,MonkeyKing,3,5,8,130471,11152,18,28809,11356,15
3419273894,TOP,Kled,14,8,5,183624,10472,19,60382,16968,18,BOTTOM,Thresh,2,8,7,33661,4645,39,24184,8548,15,JUNGLE,Shaco,6,6,5,221941,13102,15,38302,13981,17,MIDDLE,TwistedFate,4,11,6,132119,5143,17,32606,11538,15,BOTTOM,Kaisa,2,11,6,194250,2812,18,23709,11763,15
3419439059,BOTTOM,Nautilus,1,7,17,33288,2117,42,19351,8458,14,JUNGLE,Fiddlesticks,10,7,7,147173,15881,30,29424,11760,14,BOTTOM,MissFortune,14,6,7,185220,2494,14,18112,15241,16,MIDDLE,Irelia,7,6,11,138443,9730,30,31542,13358,16,TOP,Garen,7,2,10,173106,972,11,29653,13868,18
3419461385,TOP,Nasus,8,3,5,196340,4391,17,35804,16230,18,TOP,Lux,13,7,7,154061,2162,15,18266,15495,17,JUNGLE,Warwick,7,6,6,157436,22754,24,44299,11950,16,BOTTOM,Swain,5,10,9,53215,7405,62,28320,9488,14,BOTTOM,Ezreal,4,3,9,94198,3937,27,14622,10064,15
3419155094,JUNGLE,Volibear,1,6,22,142271,8014,13,32382,10973,15,MIDDLE,Riven,23,3,6,173323,13034,17,26481,19164,17,BOTTOM,Thresh,0,3,20,24772,1496,65,16457,8043,13,BOTTOM,Ashe,12,3,12,137203,3199,39,14386,14203,15,TOP,Fiora,3,8,9,120137,6383,29,28990,10337,16
3416922319,JUNGLE,Graves,5,7,0,131527,4424,32,15902,8190,13,MIDDLE,Yasuo,2,7,1,95947,1246,9,12412,7480,12,BOTTOM,Xerath,4,5,6,53626,0,24,9941,8207,12,BOTTOM,Varus,5,5,3,78130,715,10,9884,9434,12,TOP,Nasus,3,4,1,62477,601,4,15632,6887,12
3416877624,TOP,Sion,3,3,1,137094,2558,10,29672,9823,15,JUNGLE,LeeSin,2,10,5,136728,7406,17,32263,8382,13,MIDDLE,Yasuo,2,11,3,88621,1535,14,22454,10154,14,BOTTOM,Xerath,2,5,7,72321,1324,48,13441,8292,13,BOTTOM,Lucian,5,12,2,90899,1654,13,23552,10023,12
3414165552,BOTTOM,Illaoi,0,9,2,51345,2500,13,19628,4341,10,BOTTOM,Vayne,0,0,0,19782,748,6,2665,4016,10,TOP,TahmKench,1,6,2,74651,1779,11,18417,6550,12,MIDDLE,Syndra,3,4,1,96253,1713,21,11180,7393,12,JUNGLE,MasterYi,1,4,0,73021,5292,5,15001,5575,10
3419969890,BOTTOM,Rakan,3,2,24,38052,3669,53,9223,10099,15,JUNGLE,MasterYi,12,3,6,176918,12983,3,25923,13973,16,MIDDLE,Ahri,6,6,9,126499,5010,32,20755,11877,17,BOTTOM,Xayah,15,7,6,154016,2454,47,19660,15529,15,TOP,Gangplank,6,8,13,251328,9861,18,31023,15010,18
3419872204,MIDDLE,Orianna,2,2,5,98593,2035,23,9166,9349,14,JUNGLE,MasterYi,18,5,7,201543,12039,20,28807,16456,16,BOTTOM,Vayne,3,9,6,85209,2687,9,16262,9411,13,BOTTOM,Leona,3,5,13,24122,1994,40,11920,8554,12,TOP,Teemo,8,3,9,92086,8725,11,20081,10890,14
3394721376,JUNGLE,LeeSin,5,2,9,122832,7722,17,20309,8839,13,MIDDLE,Lux,3,2,6,74208,276,18,6364,8249,13,BOTTOM,Nami,3,2,14,14553,5691,33,5954,7002,12,BOTTOM,Vayne,7,4,5,90331,2432,9,14191,9170,12,TOP,Sett,9,5,3,136694,4480,9,21032,12551,14
3417478983,BOTTOM,Taric,1,7,32,27339,26895,51,31320,10332,17,MIDDLE,Syndra,13,12,19,206415,6564,37,33036,16866,18,BOTTOM,Kalista,15,12,10,188186,8453,30,40822,19074,18,JUNGLE,Kayn,4,13,12,278668,26161,20,65017,15613,18,TOP,Darius,10,14,10,187588,10836,19,62759,14860,17
3417876409,MIDDLE,Annie,7,2,5,84797,1709,11,10587,10544,14,JUNGLE,Graves,7,7,7,165799,6228,16,25932,10853,14,TOP,Jayce,4,4,8,87990,3452,15,17144,9370,13,BOTTOM,Leona,3,4,11,19870,2300,55,11645,7755,12,BOTTOM,MissFortune,3,3,6,114014,1633,14,7748,10393,13
3419344832,JUNGLE,RekSai,12,6,10,152332,16318,23,36417,14239,16,TOP,Irelia,14,4,8,149899,9942,37,32695,16241,16,MIDDLE,Cassiopeia,5,12,6,94950,7508,7,32173,10770,14,BOTTOM,Thresh,2,8,20,19190,3213,29,20642,8392,13,BOTTOM,Sivir,10,9,14,149288,2570,20,21944,12213,14
3419447195,TOP,Zac,1,8,6,117173,21742,19,34108,8317,14,BOTTOM,Thresh,1,6,7,26589,549,59,18051,6398,12,JUNGLE,Kayn,7,7,6,172236,15846,12,38053,11804,14,BOTTOM,Ashe,3,4,5,106764,1923,11,14030,8860,13,MIDDLE,Zed,6,5,0,138684,2869,11,19179,11413,15
3419579208,TOP,Vayne,0,8,1,38319,883,11,16178,5188,10,MIDDLE,Jhin,1,5,2,86256,1930,12,15194,7078,11,JUNGLE,Fiddlesticks,1,5,1,108289,11993,15,26999,6704,11,BOTTOM,Senna,1,7,2,15517,5292,33,14191,5607,10,MIDDLE,Yasuo,2,6,0,98628,1601,18,15608,8028,13
3419752580,MIDDLE,Leblanc,20,5,7,115879,9010,28,31566,17316,18,JUNGLE,Kayn,3,12,5,158265,12085,27,38004,10719,16,JUNGLE,Yasuo,5,13,9,225111,3551,21,33523,14268,18,BOTTOM,Varus,10,12,8,161309,6940,15,31218,14245,16,BOTTOM,Zyra,3,12,16,58409,2460,85,31210,10452,15
3419967602,MIDDLE,Katarina,4,11,14,94264,5815,29,31343,10905,15,TOP,Fiora,6,12,11,147249,13820,12,42642,12980,16,JUNGLE,MasterYi,14,10,11,238714,17316,23,40830,18308,17,BOTTOM,Thresh,1,4,21,31374,2684,61,17503,8688,15,BOTTOM,Ezreal,12,5,12,202460,3517,8,23893,15657,17
3419962752,MIDDLE,Lux,9,4,8,213569,0,34,11789,14317,16,MIDDLE,Ashe,6,8,10,160654,2756,19,19099,12871,15,JUNGLE,Kindred,4,13,7,187001,12890,24,36982,11127,15,TOP,Nasus,6,4,6,191511,1037,23,28552,14118,18,MIDDLE,Blitzcrank,3,8,11,20374,2015,67,21275,8781,14
3418761826,MIDDLE,Mordekaiser,9,4,7,230592,19534,21,40898,16408,18,TOP,Yasuo,14,7,6,233015,8150,18,26275,18019,18,BOTTOM,Ezreal,7,9,8,139327,4251,15,21707,12512,16,JUNGLE,Trundle,4,7,14,228754,25963,41,48591,14485,17,BOTTOM,Rakan,2,8,18,35316,4738,79,17556,9767,15
3419609724,JUNGLE,Zac,7,4,13,160117,48384,37,60336,12602,16,TOP,Jayce,15,8,11,144479,5942,23,29426,16951,17,BOTTOM,Ashe,4,6,14,98936,3260,39,19217,10781,15,MIDDLE,Kayle,8,4,13,178637,15257,13,25011,14175,17,BOTTOM,Blitzcrank,0,6,9,20208,2134,54,20619,7132,13
3415082045,BOTTOM,Ezreal,13,5,11,148401,2454,11,16868,13759,14,BOTTOM,Brand,9,5,14,73966,6798,58,20028,11190,14,TOP,Tryndamere,2,6,5,155290,6661,4,30639,10980,15,MIDDLE,Lux,4,6,12,118014,0,11,12313,10862,15,JUNGLE,Warwick,8,5,5,122890,17094,27,31280,10991,14
3419932954,MIDDLE,Zed,15,7,7,183387,4903,14,29878,17198,18,JUNGLE,Fiddlesticks,7,5,14,168922,16869,70,31054,12825,17,TOP,Kayle,4,9,7,201230,10604,11,28065,14315,18,BOTTOM,Taric,4,5,19,48666,15746,45,19466,11028,15,BOTTOM,Ashe,9,9,12,147202,4431,11,25035,13611,16
3419606835,TOP,Ornn,3,7,3,97396,1451,10,30671,9719,14,MIDDLE,Brand,5,8,2,41249,2171,35,16067,7620,11,MIDDLE,Ezreal,5,6,4,93111,2325,10,16257,10346,13,JUNGLE,MonkeyKing,1,7,8,92316,7362,29,24874,7801,12,MIDDLE,Viktor,3,10,4,89062,2102,12,17210,8381,13
3415055001,BOTTOM,Morgana,4,7,10,38144,3108,55,20516,7947,13,MIDDLE,Vladimir,1,11,4,94216,13481,5,29289,8070,13,JUNGLE,Kayn,4,10,6,129785,11951,8,38459,10253,14,BOTTOM,Ezreal,12,6,9,134629,2502,7,19329,14258,14,JUNGLE,Graves,7,11,6,130819,8660,20,28760,10439,14
3419524069,BOTTOM,Ezreal,13,2,5,168025,1968,15,13049,13940,14,JUNGLE,Ekko,3,4,5,133589,12677,31,22626,8954,13,TOP,Kayle,1,2,3,128137,4904,10,12168,9719,15,BOTTOM,Maokai,2,1,14,33260,3235,46,9424,8085,13,MIDDLE,Veigar,6,2,4,117571,535,12,9621,10561,14
3419519867,BOTTOM,Soraka,1,2,13,28760,13426,30,5412,6432,10,JUNGLE,MonkeyKing,10,1,6,118325,6859,17,18570,10650,13,TOP,Sett,5,2,3,81388,1366,6,17636,8770,13,BOTTOM,Varus,9,1,9,64138,1416,16,11873,10020,12,MIDDLE,Lissandra,1,3,6,104778,3265,18,12083,8161,13
3419382697,BOTTOM,Ashe,6,7,11,172145,3504,33,19120,13533,16,JUNGLE,MasterYi,6,10,1,211691,10597,31,35532,12850,16,MIDDLE,Vladimir,6,7,4,139376,20921,27,33023,13313,16,TOP,Darius,7,9,8,108737,6361,20,40066,12623,16,BOTTOM,Leona,2,11,10,24073,2184,83,26456,8453,13
3415933279,BOTTOM,Janna,3,3,22,22668,7128,62,13318,8661,14,MIDDLE,Cassiopeia,12,7,5,116316,9478,26,29731,12546,15,JUNGLE,Warwick,9,7,14,129799,23195,18,41061,12771,15,BOTTOM,Ezreal,14,3,14,165837,3280,14,18496,15471,16,JUNGLE,Mordekaiser,2,6,8,118974,6098,14,20350,9685,15
3419940147,BOTTOM,Nami,0,5,16,10847,5658,32,10137,6032,11,JUNGLE,Kindred,4,2,6,134910,10976,22,18371,8857,12,MIDDLE,Sylas,9,1,7,85526,13658,16,24611,9437,13,JUNGLE,Jayce,6,4,6,82464,2493,10,11995,9801,13,BOTTOM,Twitch,8,5,4,77093,1685,11,12955,9913,13
3419424825,MIDDLE,Diana,10,3,6,184820,7595,23,18400,13840,17,BOTTOM,Jinx,3,5,10,137450,1552,27,16541,10761,14,JUNGLE,MasterYi,10,4,10,218446,14614,13,27027,14077,16,BOTTOM,Thresh,4,5,19,27883,1776,55,16778,9589,14,MIDDLE,Urgot,8,5,4,132891,1035,16,23865,12514,16
3415877276,BOTTOM,Leona,0,10,5,13571,0,21,15649,4418,10,MIDDLE,Sylas,4,10,5,48062,8574,12,28355,6155,11,JUNGLE,Jax,4,13,3,45750,4170,17,21724,6172,9,BOTTOM,Ezreal,3,4,3,62361,1195,7,11166,7835,11,TOP,Maokai,2,8,4,68574,3885,9,20402,6952,11
3419385502,TOP,Yorick,2,4,2,105260,3106,17,15108,10310,14,JUNGLE,Udyr,6,5,2,131576,11774,31,31261,10117,13,MIDDLE,Velkoz,5,8,3,130401,250,19,16458,10692,14,BOTTOM,Varus,3,7,4,80808,1186,21,14312,8529,12,BOTTOM,Lulu,0,6,10,8476,424,34,10978,5951,10
3420034065,TOP,Renekton,10,1,6,162280,10705,13,30632,14034,17,MIDDLE,Qiyana,3,7,1,93001,3168,15,19107,8703,13,BOTTOM,Twitch,2,5,6,121400,2181,15,14370,10739,14,BOTTOM,Thresh,2,4,14,25620,2633,41,17440,8013,13,JUNGLE,Graves,8,5,7,159775,12220,12,25743,12582,15
3420000313,TOP,Rengar,2,6,4,96929,7862,15,27882,7718,13,MIDDLE,Lucian,13,0,16,172400,3213,17,13985,16447,15,MIDDLE,Pyke,7,4,10,29648,3532,55,14139,12273,13,MIDDLE,Sylas,4,8,11,54663,7793,14,25472,9115,14,JUNGLE,Kindred,12,2,11,154725,12229,21,22648,13024,15
3407318774,JUNGLE,Shyvana,3,7,0,177546,11159,25,32089,10218,14,MIDDLE,Sett,1,6,3,71510,2134,24,27707,8523,14,TOP,Gangplank,0,5,0,243783,5117,15,18372,11960,16,BOTTOM,Varus,5,6,5,137996,2226,13,15758,10996,13,BOTTOM,Janna,4,8,7,23761,9329,68,15997,8045,12
3418729635,BOTTOM,Syndra,1,5,2,39340,787,27,11462,5797,10,MIDDLE,Kassadin,5,4,2,71001,2385,6,13999,8514,13,TOP,Sett,0,6,0,65696,966,12,16459,6186,11,BOTTOM,Xayah,2,7,3,90355,1091,26,13897,7652,13,JUNGLE,Rengar,3,6,2,146481,9994,16,26226,8454,12
3419954585,BOTTOM,Blitzcrank,3,4,13,28969,2165,36,17464,6687,11,MIDDLE,Orianna,3,4,9,76220,1668,16,14300,7360,13,TOP,Renekton,2,8,4,97699,6628,12,27351,8049,13,BOTTOM,Caitlyn,7,9,9,80804,1724,7,16783,10498,12,JUNGLE,Khazix,6,5,8,123964,10574,9,25270,9147,13
3419166411,MIDDLE,Ahri,16,5,5,137563,4812,18,21087,14661,15,BOTTOM,Varus,5,5,15,127709,3577,39,17962,12050,14,JUNGLE,Sejuani,8,2,15,134762,10509,15,30557,12405,15,JUNGLE,Alistar,1,5,20,27942,10339,53,19407,8568,13,TOP,Sylas,6,9,7,90144,7643,17,29936,11183,15
3419888986,JUNGLE,RekSai,9,6,4,97844,9724,18,25342,9860,12,BOTTOM,MissFortune,2,4,7,74757,2815,18,13188,8107,11,BOTTOM,Morgana,1,9,6,14151,1781,48,14025,5463,10,TOP,Jax,2,9,2,72204,361,8,22029,7365,13,MIDDLE,Akali,3,3,6,82509,5117,16,21465,8206,13
3405607548,MIDDLE,Diana,7,4,5,131245,2200,28,12893,10492,14,MIDDLE,Draven,6,5,7,111020,1189,6,12636,10372,12,MIDDLE,Leona,1,2,13,21174,1169,33,11682,6853,12,JUNGLE,Khazix,11,1,5,147315,13531,19,20613,11292,14,TOP,Lux,1,3,7,94578,91,8,5710,8631,14
3405631998,MIDDLE,Taliyah,8,4,8,115906,6620,30,19390,12133,15,JUNGLE,Graves,8,3,7,218880,11649,27,21898,13678,17,BOTTOM,Vayne,17,3,9,123587,5581,12,21351,15294,15,BOTTOM,Thresh,0,5,26,32778,9508,44,27131,9210,15,TOP,Malphite,2,9,12,90134,2315,8,25137,9548,15
3419097596,BOTTOM,Leona,0,7,2,20803,456,61,14000,5586,10,MIDDLE,TwistedFate,4,9,4,104659,4073,34,25087,9540,13,BOTTOM,Ezreal,4,7,3,81830,2022,3,16262,8607,11,TOP,Kled,5,6,3,128240,2571,23,25850,10724,14,JUNGLE,Nidalee,7,6,4,134105,9623,17,21454,10045,13
3419915638,BOTTOM,Tristana,7,5,2,127205,1034,11,15863,12024,13,BOTTOM,Lulu,0,5,6,16608,511,29,12524,5785,12,TOP,Tryndamere,0,9,1,141561,5551,18,28979,7906,14,JUNGLE,Shyvana,4,9,2,171657,6028,31,28347,10327,13,TOP,Annie,0,7,6,74827,415,12,16729,8011,12
3419916397,MIDDLE,Sivir,5,9,12,227584,1664,20,22103,14705,16,MIDDLE,Pyke,19,8,7,47968,9975,100,30287,19444,16,MIDDLE,Lissandra,7,11,9,152665,3081,27,33720,13807,16,TOP,Malphite,5,4,16,158959,4889,34,29243,13564,16,JUNGLE,Kayn,1,8,21,159061,18748,35,40923,11863,16
3419586427,MIDDLE,Vladimir,5,3,6,65435,9006,14,13108,7666,12,JUNGLE,Kayn,7,4,8,134825,12291,14,25801,10143,14,TOP,Irelia,5,4,7,96787,4686,12,17508,10678,14,BOTTOM,Jhin,6,3,9,88733,2222,13,9450,9475,12,BOTTOM,Morgana,2,1,15,23690,3860,37,8894,7156,12
3419932034,MIDDLE,Maokai,1,5,4,33107,2561,18,11807,6302,11,TOP,Vladimir,3,1,2,83836,13575,11,16455,7854,13,BOTTOM,Twitch,4,4,1,90100,1150,13,8175,10058,12,JUNGLE,Zac,0,5,3,116338,23448,17,30122,6612,12,TOP,Urgot,0,7,0,72348,563,13,13781,6416,12
3411690594,BOTTOM,Caitlyn,1,8,4,85366,126,11,14553,7159,11,MIDDLE,Malzahar,3,4,5,102450,0,12,9849,7925,13,BOTTOM,Nami,2,4,7,11285,6015,53,7156,5853,11,JUNGLE,Graves,2,5,3,135335,7353,22,21683,8172,12,JUNGLE,Gangplank,7,6,7,124466,3690,16,21373,11622,14
